iter	Passed	Remaining
855	5609	943
856	5614	936
857	5621	930
858	5627	923
859	5633	917
860	5640	910
861	5647	904
862	5653	897
863	5659	890
864	5665	884
865	5671	877
866	5676	870
867	5683	864
868	5689	857
869	5695	851
870	5702	844
871	5709	838
872	5715	831
873	5721	824
874	5727	818
875	5734	811
876	5739	805
877	5745	798
878	5751	791
879	5756	785
880	5762	778
881	5770	772
882	5777	765
883	5785	759
884	5791	752
885	5797	746
886	5804	739
887	5810	732
888	5816	726
889	5823	719
890	5829	713
891	5835	706
892	5842	700
893	5849	693
894	5855	686
895	5861	680
896	5867	673
897	5872	667
898	5879	660
899	5885	653
900	5890	647
901	5895	640
902	5902	634
903	5908	627
904	5915	620
905	5920	614
906	5926	607
907	5932	601
908	5937	594
909	5942	587
910	5948	581
911	5954	574
912	5959	567
913	5965	561
914	5970	554
915	5977	548
916	5982	541
917	5988	534
918	5994	528
919	6000	521
920	6005	515
921	6010	508
922	6016	501
923	6022	495
924	6028	488
925	6034	482
926	6040	475
927	6046	469
928	6052	462
929	6058	456
930	6064	449
931	6069	442
932	6075	436
933	6082	429
934	6088	423
935	6094	416
936	6103	410
937	6110	403
938	6115	397
939	6120	390
940	6126	384
941	6131	377
942	6136	370
943	6140	364
944	6148	357
945	6152	351
946	6156	344
947	6162	338
948	6166	331
949	6171	324
950	6176	318
951	6180	311
952	6184	305
953	6189	298
954	6193	291
955	6197	285
956	6201	278
957	6205	272
958	6209	265
959	6213	258
960	6218	252
961	6222	245
962	6227	239
963	6231	232
964	6236	226
965	6240	219
966	6245	213
967	6249	206
968	6253	200
969	6257	193
970	6261	187
971	6266	180
972	6270	173
973	6274	167
974	6278	160
975	6282	154
976	6287	148
977	6292	141
978	6296	135
979	6301	128
980	6305	122
981	6309	115
982	6313	109
983	6317	102
984	6321	96
985	6325	89
986	6329	83
987	6334	76
988	6338	70
989	6342	64
990	6346	57
991	6351	51
992	6356	44
993	6360	38
994	6365	31
995	6369	25
996	6374	19
997	6378	12
998	6382	6
999	6386	0
