iter	Logloss
0	0.6805760913
1	0.6679140598
2	0.6573361775
3	0.6466254933
4	0.6358461786
5	0.627973866
6	0.6191800728
7	0.6114085515
8	0.6031132262
99	0.5942152411110	0.5871024961111	0.5821402791112	0.577220142113	0.5720046822114	0.565665070615	0.5653700523
16	0.5600342873
17	0.5552868041
18	0.5505243442
19	0.5469436447
20	0.5412140155
21	0.537065805
22	0.5330567591
23	0.5299846532
24	0.5270041333
25	0.5235928588
26	0.519760054
27	0.517470716
28	0.5148964914
29	0.511534603
30	0.5092066921
31	0.5057618525
32	0.5031060966
33	0.5009776173
34	0.4986065644
35	0.4956865886
36	0.4927642526
37	0.4906586873
38	0.4882280881
39	0.4864804624
40	0.4849003519
41	0.4830290465
42	0.4804516618
43	0.4784315995
44	0.4764725833
45	0.4747063862
46	0.4733527502
47	0.4717430842
48	0.4704988952
49	0.4685315894
50	0.4672919071
51	0.465709028
52	0.464138736
53	0.463083548
54	0.4616924836
55	0.4602979933
56	0.4593701058
57	0.4582763618
58	0.4575086862
59	0.4566690222
60	0.4552907723
61	0.4540305982
62	0.4528720731
63	0.4522289238
64	0.4512351701
65	0.4497702769
66	0.4488083724
67	0.4476459111
68	0.4465463591
69	0.44556358
70	0.4447764383
71	0.44380708
72	0.4429400939
73	0.4422197495
74	0.4417601688
75	0.441170708
76	0.440377802
77	0.4393892649
78	0.438477255
79	0.4375986846
80	0.436667643
81	0.4362812623
82	0.4357193149
83	0.4346226191
84	0.4338000366
85	0.4331885421
86	0.4324637665
87	0.4319500383
88	0.4312298889
89	0.4301439803
90	0.4296423294
91	0.4289766235
92	0.4284787551
93	0.4280290937
94	0.4275404794
95	0.4270783984
96	0.4266286718
97	0.4262131739
98	0.4259171447
99	0.425440306
100	0.4248093917
101	0.4241955259
102	0.4238575328
103	0.4234568734
104	0.4226026108
105	0.421998183
106	0.4214226268
107	0.4209234601
108	0.4203610712
109	0.4199510616
110	0.419593841
111	0.4192787071
112	0.418936941
113	0.4185198217
114	0.4181598719
115	0.4179144081
116	0.4169892501
117	0.4158241478
118	0.4154453418
119	0.415076506
120	0.4140004768
121	0.4136443131
122	0.4133209637
123	0.4129377108
124	0.4119854802
125	0.4116064001
126	0.4113593813
127	0.4108494565
128	0.4102013834
129	0.409818467
130	0.4094874779
131	0.4090970959
132	0.408737795
133	0.4085248268
134	0.4080974567
135	0.4076201485
136	0.4071414446
137	0.406790402
138	0.4062581217
139	0.405740989
140	0.4054621596
141	0.4052692646
142	0.4051295485
143	0.4048484537
144	0.4045950557
145	0.404286559
146	0.4040167659
147	0.4037033562
148	0.4034273274
149	0.403218983
150	0.4029254122
151	0.4026734179
152	0.4024206327
153	0.4020357
154	0.4018330044
155	0.4015400209
156	0.4013813159
157	0.4011477243
158	0.4009495391
159	0.4007450801
160	0.4003557637
161	0.4001395305
162	0.3998379807
163	0.3996169812
164	0.3991207175
165	0.3987374014
166	0.3981561188
167	0.3977117533
168	0.3970640546
169	0.3966873311
170	0.3963374012
171	0.3960245261
172	0.3957905554
173	0.3956090887
174	0.395193554
175	0.3950383097
176	0.3948113349
177	0.3942070609
178	0.3940185388
179	0.3937676828
180	0.3935092519
181	0.3932984294
182	0.3931391936
183	0.3929280633
184	0.3926720423
185	0.3924241182
186	0.3922377797
187	0.3920550849
188	0.3917965747
189	0.3915943048
190	0.3914171995
191	0.3911935977
192	0.3908704184
193	0.3904849673
194	0.3903039171
195	0.3901347961
196	0.3899578379
197	0.3894053719
198	0.3891745938
199	0.3889656833
200	0.3887896064
201	0.3885791794
202	0.3883830923
203	0.3881938711
204	0.3878947286
205	0.387603202
206	0.3874489766
207	0.3872893713
208	0.3871555789
209	0.387021532
210	0.386567289
211	0.3863071238
212	0.3861303217
213	0.3859884436
214	0.3858907748
215	0.3856805909
216	0.3854848855
217	0.3853248558
218	0.3851749574
219	0.3850321599
220	0.3848196957
221	0.384464536
222	0.3842582686
223	0.3839500201
224	0.3837243322
225	0.3835374157
226	0.3833831155
227	0.3832038458
228	0.3829853899
229	0.3828502737
230	0.3827408887
231	0.3823255031
232	0.3820523751
233	0.3817996577
234	0.3815594039
